epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.2398,2.78359,2.91066,1.54505,0.00231,0.0784,0.00129,0.00045,3.42275,inf,2.17218,0.00066323,0.00066323,0.00066323
2,142.15,2.81434,2.73475,1.57132,0.06233,0.05226,0.00919,0.00309,3.38258,12.9502,1.69043,0.00131673,0.00131673,0.00131673
3,213.538,2.7776,2.65834,1.54697,0.08997,0.02787,0.01172,0.00334,3.77947,5.61749,1.95791,0.00195703,0.00195703,0.00195703
4,283.972,2.66359,2.55222,1.49538,0.00896,0.08362,0.01329,0.00507,3.47951,3.55294,1.68469,0.0019406,0.0019406,0.0019406
5,354.747,2.56175,2.41643,1.45429,0.07427,0.01829,0.01001,0.00349,3.22987,4.03655,1.68306,0.0019208,0.0019208,0.0019208
6,425.32,2.54177,2.35761,1.42433,0.37507,0.02875,0.03437,0.0129,3.09017,3.37017,1.56072,0.001901,0.001901,0.001901
7,498.443,2.51416,2.33586,1.42858,0.2213,0.02613,0.02191,0.0075,3.28123,3.78004,1.63528,0.0018812,0.0018812,0.0018812
8,570.437,2.45746,2.28622,1.39907,0.17696,0.02178,0.0177,0.00544,3.56873,4.67475,1.88609,0.0018614,0.0018614,0.0018614
9,642.266,2.4331,2.25562,1.3921,0.24924,0.01307,0.01645,0.00545,4.04835,4.69271,2.42241,0.0018416,0.0018416,0.0018416
10,715.663,2.41103,2.17937,1.36562,0.16066,0.01742,0.00976,0.00306,3.56621,4.50588,1.76496,0.0018218,0.0018218,0.0018218
11,789.028,2.39644,2.16705,1.37621,0.28619,0.0723,0.04874,0.01586,3.037,3.30989,1.55269,0.001802,0.001802,0.001802
12,864.842,2.37315,2.12019,1.36739,0.29374,0.04965,0.04118,0.01658,2.8574,3.04714,1.46298,0.0017822,0.0017822,0.0017822
13,939.745,2.33214,2.0729,1.33217,0.21134,0.04965,0.03364,0.01194,2.73979,3.32958,1.43023,0.0017624,0.0017624,0.0017624
